"guohot","刚看完，这剧情真是迷之又迷，不迷的地方狗血的可以，日本警察应该集体抗议这部片"
"冰仔","最后几段的剧情和情感真的有必要用一波又一波的bgm轰炸来推进么……"
"一粒米","和我想的一样君名只是意外新海诚的审美还是这么差"
"宽宽宽叔","东京被淹了以后，城市的主要交通工具从列车改成了长成列车形状的轮船，噗哈哈哈哈哈哈"
"聚洲","本来作为一个阿宅，我已经很能自然地接受各种中二和神展开了，但或许是因为在影院而非被窝中看的，违和感从那把手枪出现后就一直没下线。如果说晴女的设定是属于奇幻神话范畴的话，警察等代表的就是一种现实的人间力量。如果是用属于神话系统内部的矛盾来引发戏剧冲突点和高潮，然后用人间界的努力来拯救一切，那自然毫无问题（比如《你的名字》中的种种关于时空、记忆的困境）。结果新海诚选择了用人间界的矛盾（被警察各种阻拦，为此强塞一把枪给男主）引爆高潮，然后男主的全部努力就是摆脱警察，神特么走进鸟居就把女主救回来了？？那我还想去天上旅游勒，鸟居给咱安排下？结果就是本来一个非现实的神话设定，最大的矛盾冲突却是来自现实的警察而非神话本身，搞的不伦不类，中二爆棚。那啥，咱还是上帝的归上帝，凯撒的归凯撒吧。"
"宇宙含税爆破液","关注点可能有点怪，大叔真是一种时而帅气时而逊炸的奇妙存在。小栗旬👍🏻不过剧情就不槽了，第三新东京市，沉没！"
"妍春","这么矫情、反逻辑的片子换给任何人拍，早被骂脱几层皮了。可你看新海诚，他……也得挨骂。中后段观影体验疲劳且想笑，欢乐的角色们完全稀释在放飞的剧情里——当我们用欢乐来形容严肃的事情，本身就是一种否定。万年中二的新海诚，歌咏少年情感的小公举，你怎么就长不大呢？你真的觉得在这般低幼动漫里放一本《麦田里的守望者》就显出野蛮了么？哎，傻瓜。可，如果院线放映他的秒速五厘米、言叶之庭，我大概依然会光顾吧。做的不好是真的不好，可他依然执着于表达轻松的情感，就像一口点心，咽下去还是甜的。"
"紫光Kenny","OST再次证明洋次郎有绝不逊于YOSHIKI的作曲才华，剧情过于中二了，拖整体的后腿了。"
"二火山","连续三部共享宇宙，期待壁纸诚圣诞档拍部自己的《真爱至上》。"
"想养一只柯基","画面是真好看，剧情太牵强"
"Co!in 。","全程感觉就是:小情小调要套进宏大叙事，结果翻车扑街……果然《你的名字》里主线和大背景巧妙结合的奇迹还是难以复制的。不过就冲着高潮戏那段美妙的声画结合，也是值回票价的呀！"
"Culaccino","我隐约觉得有点尴尬，画面和音乐是真的可，至于剧情也太狗血了，get不到所谓的感动和青春在哪里"
"音色罗宾熊","无比平和的HE。。。那个看不得有情人终成眷属、喜欢在糖里塞玻璃渣的新海诚哪儿去了？！我好想他啊！没体会过爱情的我不配看这部电影。。。你别想教我什么是真爱我不听不听QAQ这次打的是安全牌，野甜甜还是棒棒的，画面更不用说了，烟花很有老谋子的感觉了（剧情一开始是有趣的，后来对天气巫女的解释反而显得故事格局小了。这次新海诚也太宠溺男女主角了～不论是非一边倒地支持帆高的选择和决定，可他离懂事还差得很远哪。有点中二的帆高可能带了点新海诚自己的影子？晴天娃娃女主可爱der她弟弟根本就是小白龙嘛～撩妹技能满点，大写的萌！其他角色无感；要是三叶名牌上是姓立花我会超开心的然而。。。什么鬼。。。"
"小油飞","看来君名真的是个奇迹，事实证明两年时间根本不够诚哥把剧本写到及格，而君名的成功让他继续意识不到自己的短板…更糟糕的是他并不明白君名为什么会成功，只能把当时的做法随机拼凑，碰巧戳中了就算走运，结果就是it’salmostpainfultowatch。整部片子最有灵魂的部分可能就是瀧和三葉出现的地方。还有RADWIMPS这主题曲跟変わらないもの也像过头了吧？！"
"闪电杰克","饶是脑残粉如我，也抵不住诚哥这回的乱来啊！！槽点实在太多了，本想一一点出，但又隐隐觉得心在滴血……唉，三星真的是我最后最后的仁慈了。"
"orbit","可惜。画面和音乐拥挤得让人疲惫，人物和故事实在模糊草率。情绪、异世界、人与人的连结等等导演擅长挖掘的部分通通没有体现。小石啾在电影院看的第一部片子，有很多歌听啾啾啾"
"elvira","新海诚的电影感觉永远都是框在青少年和神柱力一类的剧情里面，画面越来越好看，剧情却停滞不前"
"正在","没比《你的名字。》差，主要是你的名字没有很好。但是新海诚那颗过分情感充沛的心放在这部里好像恰当一些，因为“就算东京被淹世界全变也不关我事、我只要你的”这种青少年冲动，导演选择了成全，然后立马结束。"
"线线","画面美，没有记忆点。"
"宅拾叁","优点依旧。不相信爱情的新海诚竟然相信了一次爱情。问题就是剧本，真的太差了，我衷心希望有一个人能长期帮新海诚写剧本。"
"鴉","二星半。開頭巧合多，故事很套路，煽情就唱歌，女主太單薄，倒是男孩子不管不顧的一句「我就是想再見她」感動到我了。東京淹了，跟我們也沒關係。"
"回转艾丽卡","观点倒也没啥惊世骇俗的，但阿诚有些过度沉迷于无意义的演出及自嗨了。感觉整体上拆解成容量为1小时的碟片，附送五十张绝美明信片，三个特别附录纯爱MV然后打包塞进BD里会显得正常一些。"
"开心加菲","画面音乐都不错，故事看的一脸懵"
"阿暖","不管怎么说，在描述usagainsttheworld的感染力上，这部电影真实还是甩《少年的你》三条街好吗，再次证明后者确实是在一个日本青春期的语境里讲中国人的故事，所以怎么看怎么拧巴啊。"
"麦小白","少年式浪漫主义，壁纸还是那么养眼那么出色，OST也很优秀。"
"中端人口方芮欣","这特么不就是我们初中那会儿，班上女生传来传去的杂志上登的那种文么？不如秒五、你名、言庭。看完后我的内心毫无波动，甚至想笑。"
"醉梦·聊生","满眼尽是，新海诚钟情的元素，居然还自恃良好地让前作中的角色来客串，原声更是肆无忌惮地跳进场景，把也许尴尬也许意境贫乏的画面整得意味深长，帆高对阳菜说，管它天气如何，我们的爱才是主角，非要这么自私么，说好的献身者呢？"
"未注销","后面直接垮了，悬崖式崩塌，好可怕的男主角，如果不是前面还算温馨，我会毫不犹豫两星"
"哟嚯嚯嚯","继《你的名字。》的新海诚新作《天气之子》观感。由于学校很偏僻，去影院要花不少时间，加上下午玩游戏后睡觉睡过头的阻碍，到电影银幕前坐下的我是心中不是很平静的。还有在电梯遇到的女生，她居然也是看这部电影的，还是坐我右边。看电影的过程中尿急，还有后面的人向我的靠椅伸脚，还有周围的人的说话，加上旁边女生的存在，我的注意力难以集中到电影中。还有银幕，感觉布满了灰尘一样，让本来精致的画面顿时粗糙了起来。说说电影吧，没看影评之前，我是很迷惑的，感觉这部影片非常的奇怪。男女主的情感铺垫不够，导致后面男主准备要告白的情节显得突兀。有一些情节转变着实突兀，比如男主被女主弟弟说喜欢女主的时候的反应。音乐感觉像是强行加入情节中的。结尾我真的是满脸问好，无端端的三年过去了，男女主碰面的bgm又是强行插入的。还有一"
"哈比","说真的，给3星里面有1星是给新海诚这个人小栗旬的配音还有RADWIMPS的音乐。整个故事和情节很简单的诶，一些泪点我有些不明所以。看完没有任何回味或值得思考的地方，也并没有被甜到哪里去。主角是两个未成年人为了自己的生活奋斗，但总是被所谓的大人关怀阻挠真的很让人揪心，物以稀为贵，连绵雨天的时光里，就会分外渴求晴朗的天气。人的心情的确会受到天气的影响。环境保护的主题又显得有些弱，不能产生更多共鸣。作为彩蛋的《你的名字》男主和奶奶，以及女主的弟弟（好可爱）倒是让我有些欣喜~"
"翦瞳儿","2019年11月4日18:45，中都影城"
"匿名用户","故事完全服务于画面突兀的人设突兀的剧情发展以及突兀的高潮整体下来印象深刻的是片子之前的广告……不过讲真和东京这几天天气挺配的"
"华盛顿樱桃树","失去了文学性，也失去了趣味性。同时这个看起来轻松的电影真正观赏起来可我并不轻松。"
"竹露滴清响","好失望。去看之前就知道剧情不行，没想到这么的不行……"
"R·WALKINGDEAD","啊，男孩纸们真可爱。年纪大了就想看点毫无逻辑的甜甜恋爱+青春的日剧跑。后半段穿越时空的少女+千寻既视感严重（致敬？）。但是无所谓了。接受新海诚就只有这种水准，但是能带来短暂的好心情。可惜某熊不在呜呜。"
"猫猫子","两星半。文本上很多bug，每次刚要煽情又被槽点盖过。连续的异常大雨天气究竟如何造成的压根没提，本可以和晴女联系起来的点，导演直接放弃了深挖，显得浮皮潦草。另外有两次突然从天而降夹杂着不明物质的雨水，这一现象最后给的交代不够清晰，本以为这条线索会很精彩结果约等于不了了之，诸如此类的问题使人感到迷茫。唯一唯二有点触动的瞬间也都是因为野田洋次郎的歌声响起吧。一部电影全都靠一个乐队撑着有点说不过去。"
"已注销","太中二了，而且严重商业化"
"董顺心","在刮大风的天气看完电影，印象最深的还是几个放晴的镜头。剧情则完全匹配不上这样的画面和配乐。一定要把成年人放在少年的对立面，全世界都与真爱为敌？倾城之恋没有立起来，浪漫不足，矫情有余。"
"小弟有只猫","太童话了，細節還算喜歡；小栗旬我竟然沒反應過來！！洋次郎聲音一出來我和肥皂完全被酥到不行⋯"
"JUMP!","新海诚的真实除了真实别无他物，是时候思考思考自己作为アニメ監督到底还能做什么了吧。"
"千与","新海诚一定懂得有些人只要见到就是晴天☀️很高兴，我又有一个可以去碰面的太阳了🌞"
"metaphor17","壁纸狂魔遮百丑啊！"
"Cenko","一星画面一星配乐，想了一下加一星给勤勤恳恳的动画人。求求诚哥别再自己写剧本了！！！！真的受不了初中女生自我感动式的小言！！！！"
"榴莲王子","哈哈哈哈哈哈哈哈"
"文森特九六","一场两小时的电影or一集“二十分钟”的“特摄剧”？？？"
"外出偷狗","就画面还算好看吧。"
"朴智善","剧情水到都快和《大鱼海棠》差不多了，全是硬设定、硬转折、硬分别、硬重逢，真硬核奇幻动画。"
"シ辰子","唉，好想改一下结尾……在高潮之前都是完美！（我肯定是剧中大叔的性格）"
"土方老師","言叶的雨天，你名的晴空，天气之子诚可谓新海诚的集大成之作，处处可见既往作品里那些经典的场景，尤其是几处歌曲与日常相结合的转场安排与你名前前前世如出一辙。优点的复制与堆积即是缺点，诚然每一帧画面依旧美不胜收，每一支乐曲依旧动听无比，但是剧情的安排，人物的塑造，情感的推进可以说相当不尽如人意。"
"白牙尖","和上一部比起来剧情也太差了，两个人从天上牵手飞下来的场景联想到千和白龙，但你的名字的乱入和莫名其妙的设定让东京下了三年雨让人真的很难感动。（深夜场）"
"burglaryod","喜欢导演风格的人大概会喜欢吧，剧情也好画风也好都审美疲劳了，radwimps的歌很好听算是最大的收获了"
"八爪Lain","不管看什么片我都只能看出五个字：好想去东京......"
"张元英","画面很美，但是剧情真是毫无逻辑可言，虽然情节很罗曼蒂克但是身为大气学子还是忍不住吐槽各种设定。男主真的太浮夸了可能我不太适应这种风格🤦♀️"
"猫佑","有点莫名其妙"
"岁月何须溪上记","新海诚又不会讲故事了，以为在《你名》里终于学会讲故事，原来只是昙花一现，回到了过去的讲故事水平。雨景好看。剧情冲突全靠男主中二和关爱离家出走的警官作对。枪的存在有点尴尬。一个彩蛋是阳菜在酒店里唱的是《逃耻》的《恋》gaki舞。还有一个彩蛋是《你名》男主出现在婆婆家，女主是帆高买戒指的首饰店的店员。//2018-12-15想看。新海诚新作，期待！明年7月19日上映！"
"Rábano","6.4/10就这还科幻爱情片？？？整部电影都给我一种奇怪的感觉。比如剧情走向，再比如人物性格，电影没有什么逻辑，看的莫名其妙。不否认前半段的娱乐性做的还是不错，但是后半段剧情看得我简直缓缓打出一个问号？这都什么跟什么，从男主中二那段就开始崩坏，男女主开始作天作地渲染他们的爱情故事了，结局更是exm？？？当然配角塑造的还是蛮出彩的，音乐也很好听，还有可能就是君名男主客串的彩蛋令我比较惊喜，可以搞一个新海诚宇宙了。另外我对二次元了解不多，但是这个画风我觉得真的不如君名。"
"夏树","讲述了一个《真的没必要》的故事，音乐比起《你的名字》差了好多，太依赖插入歌来推剧情了，剧情让人云里雾里但是音乐一响就满脑子问号“这里是要感动一下的吗？”。大事件的动机太弱了啦干嘛青春期男女谈恋爱要拉上整个东京的人陪葬啦！！你哪怕设计一个第三方势力比如军队啦研究集团啦要抓走女主，冲突激烈一点明显一点，接到这个结尾可能还合理一点。从东京被淹了一大半我就懵逼了，需……需要这样吗！！《你的名字》男女主彩蛋还蛮好的，有会心一笑这样。"
"Morning","败笔在警察，如果可以提出一个精神意义层面的“反派”会比现在的观感好，它的主题很大，免不了要去描绘一些复杂的层次，可惜这个故事就局限在几个人之间，只能靠观众发挥自己的想象和体验，但我好想生活在这样的东京啊，下着雨又怀抱着自己的心事，大家的世界当然是不同的，世界本来的样子也是值得疑问的，我会觉得这并非灾难，因为没有人埋怨，大家不都努力着用另外一种方式选择生活吗。"
"诸葛若见","最美的不是晴天，而是有你在的每一天。画面很美，足够清新。新海诚这次的叙事有点奇怪，剧情过于迷惑。"
"在月球上荡秋千","看的好无聊，真是年纪大了，跟不上潮流了，电影院一群男孩看，边上一孩子还能跟着唱主题曲。"
"拖延症晚期的Ⅴ","没那么差也没那么好，有些不合逻辑的情节让人怀疑导演是不是该接接地气了可以建立自己想当然的乌托邦也要做好被与现实比较并评论的心里建设"
"高压电","挺可爱的除了太多mv片段"
"抱抱","内容一般，画面绚丽。另外，新海诚除了少男少女的恋情之外还能够探讨一些更深刻的主题么，比如上升到哲学程度的，上升到社会程度的。宫崎骏老爷子之后日本动画电影界颇有种后继无人的感觉，连最近几年最为突出的新海诚创作出来的电影都这么空洞无聊且浅薄。略失望吧。三星全给画面。"
"已注销","新海诚的画风看多了真的有点腻雨滴是成鱼形状为什么各地都有的没搞懂两个高中生跑去被水浇也没搞懂"
"麻辣列维奇","剧情欠打磨，大体说得通，细节方面有些跳。无聊时候实在找不到电影的话，可以一看。"
"麦子麦子酱","画面还是美得不行虽然电影中可以看出想表现青少年的生存问题以及人与自然的关系但是这结尾太不按常理出牌了造成心理不适sorry"
"24city","故事太弱了，人物不可爱不讨喜，立不起来，价值核心也不是那么让人接受，本以为是治愈系，没成想是抑郁系，中二的青春就一定要是牺牲所有人的不负责任吗，还是膈应，广告也很多，商业化后有了同质化的苗头。"
"ミナミ","烟火那段挺惊艳的，其他没有影响特别深刻的场景，差不多的中二，差不多的壁纸感吧"
"Valuska","5.5/10高中生救世界"
"一个无情的杀手","新海诚的电影真的好美音乐画面都是童话可故事不是这个电影给人的感觉就是不知道是拍个成人看的还是小孩看的小孩看着太成熟成人看着太小儿科都没有共同点"
"Morphe","如果男主看过百变小樱就会知道，阳菜其实是雨牌，错在那枚戒指！"
"某妮","你知道，就算大雨让这座城市颠倒，我会给你怀抱。｜电审进字2019年090号"
"toolass","@渋谷TOHO"
"海盐草莓","未免也太意味不明的十五六岁青春疼痛了电影啊电影终究剧情好才电影好啊所以男主为啥走到哪里哪里都有枪"
"panda","不喜欢这个设定还是你的名字更好看虽然画面歌曲依然美好"
"小偷","高积云，积雨云，云隙光；梅雨，暴雨，夏日飘雪，触手可及的闪电，海平面上升漫过的东京……新海诚凭借一个迷之又迷的剧本成功地把这些令人神往的天气现象描绘到了极致，他才是真正的天气之子😊"
"车了个干","故事太莫名其妙了三观也很奇怪美术再扎实也救不了对我来说影视作品永远是剧本排第一"
"RUNE","精致画面与中二故事，新海诚一如既往。"
"Stone","少年離家出走的故事，讓我想起自己少年的時候，那個年紀很叛逆也很爛漫，也想要離開家去很遠的城市生活，可以為自己想要守護的人付出一切。現在雖然實現了少年時代的夢想，但是卻已經過了天真爛漫的年紀，成了連小說都快要讀不進去的三次元社畜老油條。劇情中二到有點尷尬，不過非常適合中學生的年齡段看，幾十歲的年紀製作這部動畫和看這部動畫真的好嗎……雖然劇情過於中二有點減分，但是畫風真的很唯美，高潮部分的BGM一次一次震撼我。"
"不醉无归爱谁谁","嗯...一般新海诚吧。画面很OK，细致的令人发指，美得让人落泪。配乐不OK，没有立刻想得到OST的冲动。故事...很套路，但是讲的很OK。啊~~少年的勇气，大概也只有少男少女才配拥有勇气。我们成年人，最终因为各种羁绊成为油腻、颓废、猥琐、胆小的人。"
"西瓜大侠女","画面确实不错，但看点总是走同一个路子的话，人是会疲劳的。比《你的名字》（主角在这里出镜了？？）差的，逻辑确实很缺乏，尽管这样拼命地去爱，只有“少年的你”可以做到啊！小雨猫3年后太搞笑了！还有放晴娘那块儿。色彩是不错，但是如果去看IMAX还是有点儿浪费，加之最后一排一男一女老说话，就坐到了前面中间排位置。唯一的亮点就是控制天气这个设定了吧！想起我们肖老师和猴子哈哈哈哈……！《机器猫》不是说无论男女都叫“晴男”“雨男”么！这里怎么改“晴女”了？安贞UME3号厅10人左右散场碰到叫什么济博的男服务员太奇葩投诉时他们都笑了说这个人脑子有毛病"
"波提切利的天使","可以做的更好可惜了"
"蓝色波丽露","新海诚的故事一如既往的氛围大于逻辑，然而不知为何他笔下的角色表达情感的方式总是莫名歇斯底里，剧情的情绪也不知道怎么就突然那么高昂了。警察太惨了，明明只是在做自己的本职工作而已。但是音乐真好听。"
"[已注销]","里面那个售货员叫宫本茂，你们看见了么"
"Derridager","原本以为要讲未成年与世界对抗，不是世界/体制的giltch，而是世界得以成为世界的必要组成部分。万万没有想到这次是“我只要自己的世界，反正东京以前是片海”。世界被取消了，我的周围即是全世界。"
"丁萌","还是世界系。然而从【拯救世界】到【做出拯救世界的样子】，真的“大丈夫”？？？"
"Lycidas","3.5演着演着突然mv好尴尬...大叔说为了救大部分人牺牲一个也无妨的时候意识到果然又是一个「电车难题」，这种困境里无论哪一种选择都可以自圆其说，但也无法完全证明其合理性。自私的选择才真实，真实到刺痛，但若连选都不能按照心意去选，还不如消失在天空中呢。20200314重看略减。"
"Suito","不愧是诚哥，9102年了还在拍世界系以及歌曲串烧.."
"一口大井子","画面依旧是新海诚的高水准，帧帧壁纸，剧情水到都快和《大鱼海棠》差不多了，全是硬设定、硬转折、硬分别、硬重逢，真硬核奇幻动画。"
"Mr. Infamous","其实该叫《天气之女》。被阴雨笼罩的东京突然天晴之时，风卷云舒都没这般明朗动人。淡然而笃定的故事，很适合少年穿行，成年人计较了，龟缩了，自己都感动不了自己。女性始终是献祭者，大局之前，总要她们用血肉之躯去换一个也许的雨过天晴。终于这次，可以自私一回，但“新模式”却找不到可行的通路似的，后面的蛰伏不足以为之前的血性作陪。"
"Kei","「君の天気は」"
"太阳的倒影","翘班去看...这剧情和人物塑造...一言难尽...美术是很棒，雨水的各种表现都做得很好，3DCG也做得不违和，但作画略微微微低于君名。另外中文字幕还把一个非常重要的名字翻译改成了宫本茂是什么鬼..."
